27,5,238,5,238,57,27,57,###a
293,5,760,5,760,34,293,34,###a
375,33,674,33,674,63,375,63,###a
330,101,719,101,719,128,330,128,###a
40,83,68,83,68,111,40,111,###a
68,85,103,85,103,109,68,109,###a
103,89,224,89,224,109,103,109,###a
47,111,225,111,225,156,47,156,###a
134,231,227,231,227,258,134,258,###a
233,233,762,233,762,260,233,260,###a
236,260,353,260,353,288,236,288,###a
73,312,799,312,799,340,73,340,###a
8,337,805,337,805,498,8,498,###a
8,497,216,497,216,525,8,525,###a
73,528,569,528,569,560,73,560,###a
573,533,799,533,799,559,573,559,###a
10,559,799,559,799,612,10,612,###a
6,612,289,612,289,639,6,639,###a
72,646,798,646,798,675,72,675,###a
13,674,803,674,803,832,13,832,###a
13,831,342,831,342,859,13,859,###a
73,867,798,867,798,895,73,895,###a
13,894,799,894,799,921,13,921,###a
14,921,663,921,663,949,14,949,###a
73,954,799,954,799,984,73,984,###a
10,984,802,984,802,1036,10,1036,###a
10,1035,398,1035,398,1063,10,1063,###a
73,1070,801,1070,801,1098,73,1098,###a
17,1098,803,1098,803,1125,17,1125,###a
14,1125,738,1125,738,1154,14,1154,###a
