85,18,780,18,780,51,85,51,###a
29,50,777,50,777,102,29,102,###a
27,101,495,101,495,129,27,129,###a
87,133,488,133,488,162,87,162,###a
491,140,775,140,775,165,491,165,###a
24,164,404,164,404,187,24,187,###a
408,165,776,165,776,191,408,191,###a
24,187,266,187,266,213,24,213,###a
269,191,773,191,773,216,269,216,###a
24,213,412,213,412,240,24,240,###a
413,217,775,217,775,244,413,244,###a
24,241,69,241,69,265,24,265,###a
82,274,773,274,773,302,82,302,###a
26,303,777,303,777,328,26,328,###a
24,328,618,328,618,356,24,356,###a
83,359,394,359,394,389,83,389,###a
400,365,774,365,774,392,400,392,###a
25,390,555,390,555,416,25,416,###a
556,390,775,390,775,417,556,417,###a
24,414,354,414,354,444,24,444,###a
85,448,455,448,455,476,85,476,###a
463,450,775,450,775,478,463,478,###a
28,476,556,476,556,504,28,504,###a
80,503,330,503,330,528,80,528,###a
337,503,775,503,775,531,337,531,###a
24,529,220,529,220,554,24,554,###a
225,528,394,528,394,555,225,555,###a
399,529,774,529,774,557,399,557,###a
23,555,518,555,518,579,23,579,###a
525,556,775,556,775,581,525,581,###a
19,578,398,578,398,606,19,606,###a
404,584,772,584,772,609,404,609,###a
20,606,548,606,548,638,20,638,###a
79,638,520,638,520,666,79,666,###a
524,645,773,645,773,669,524,669,###a
24,668,454,668,454,693,24,693,###a
462,669,773,669,773,696,462,696,###a
22,693,328,693,328,721,22,721,###a
85,725,410,725,410,753,85,753,###a
416,731,772,731,772,756,416,756,###a
20,752,434,752,434,780,20,780,###a
439,757,770,757,770,785,439,785,###a
17,780,431,780,431,807,17,807,###a
20,840,108,840,108,864,20,864,###a
35,865,104,865,104,883,35,883,###a
33,884,288,884,288,904,33,904,###a
31,904,292,904,292,926,31,926,###a
31,924,172,924,172,945,31,945,###a
31,945,224,945,224,968,31,968,###a
488,845,777,845,777,900,488,900,###a
520,1077,739,1077,739,1109,520,1109,###a
