9,14,78,14,78,42,9,42,###a
102,50,195,50,195,80,102,80,###a
81,91,115,91,115,116,81,116,###a
199,91,240,91,240,115,199,115,###a
102,126,220,126,220,146,102,146,###a
22,148,295,148,295,188,22,188,###a
340,50,750,50,750,82,340,82,###a
422,90,666,90,666,118,422,118,###a
550,131,706,131,706,156,550,156,###a
260,236,486,236,486,267,260,267,###a
9,284,170,284,170,314,9,314,###a
9,319,130,319,130,347,9,347,###a
9,352,77,352,77,377,9,377,###a
9,385,99,385,99,407,9,407,###a
9,413,175,413,175,442,9,442,###a
9,445,118,445,118,472,9,472,###a
9,480,120,480,120,508,9,508,###a
38,516,798,516,798,543,38,543,###a
9,545,517,545,517,571,9,571,###a
8,581,88,581,88,608,8,608,###a
40,616,801,616,801,643,40,643,###a
9,644,801,644,801,777,9,777,###a
9,780,120,780,120,804,9,804,###a
40,815,798,815,798,838,40,838,###a
9,840,793,840,793,867,9,867,###a
9,875,138,875,138,905,9,905,###a
99,911,420,911,420,941,99,941,###a
64,949,88,949,88,976,64,976,###a
67,916,89,916,89,941,67,941,###a
65,987,89,987,89,1014,65,1014,###a
69,1026,88,1026,88,1053,69,1053,###a
97,951,595,951,595,976,97,976,###a
96,987,432,987,432,1014,96,1014,###a
97,1023,497,1023,497,1050,97,1050,###a
9,1060,531,1060,531,1087,9,1087,###a
522,1099,631,1099,631,1128,522,1128,###a
489,1053,780,1053,780,1102,489,1102,###a
